gene	tpm
ENSG00000008324	34.848
ENSG00000008382	8.725
ENSG00000008394	40.815
ENSG00000008405	19.37
ENSG00000008438	6.195
ENSG00000008441	28.3
ENSG00000008513	41.399
ENSG00000008516	2.936
ENSG00000008517	889.855
ENSG00000008710	25.542
ENSG00000008735	1.731
ENSG00000008838	83.074
ENSG00000008853	11.612
ENSG00000008869	12.796
ENSG00000008952	106.575
ENSG00000008988	1557.293
ENSG00000009307	241.479
ENSG00000009335	25.16
ENSG00000009413	15.952
ENSG00000009694	0.955
ENSG00000009709	0.272
ENSG00000009724	0.878
ENSG00000009765	0.25
ENSG00000009780	6.612
ENSG00000009790	24.214
ENSG00000009830	16.872
ENSG00000009844	74.43
ENSG00000009950	13.153
ENSG00000009954	25.825
ENSG00000010017	32.13
ENSG00000010030	45.639
ENSG00000010072	13.94
ENSG00000010165	17.809
ENSG00000010219	29.968
ENSG00000010244	197.82
ENSG00000010256	236.85
ENSG00000010270	36.542
ENSG00000010278	732.801
ENSG00000010282	23.359
ENSG00000010292	23.936
ENSG00000010295	13.504
ENSG00000010310	0.522
ENSG00000010318	5.223
ENSG00000010319	0.948
ENSG00000010322	54.171
ENSG00000010327	3.302
ENSG00000010361	18.904
ENSG00000010379	1.257
ENSG00000010404	44.94
ENSG00000010438	10.367
ENSG00000010539	11.087
ENSG00000010610	23.309
ENSG00000010626	17.266
ENSG00000010671	2.596
ENSG00000010704	15.781
ENSG00000010803	14.576
ENSG00000010810	58.365
ENSG00000010818	14.907
ENSG00000010932	30.628
ENSG00000011007	25.376
ENSG00000011009	73.58
ENSG00000011021	13.01
ENSG00000011028	2.852
ENSG00000011083	0.563
ENSG00000011105	18.926
ENSG00000011114	4.893
ENSG00000011132	34.124
ENSG00000011143	20.555
ENSG00000011198	40.258
ENSG00000011201	7.232
ENSG00000011243	75.24
ENSG00000011258	8.91
ENSG00000011260	45.971
ENSG00000011275	28.549
ENSG00000011295	44.225
ENSG00000011304	146.73
ENSG00000011332	0.531
ENSG00000011347	2.206
ENSG00000011376	8.826
ENSG00000011405	17.381
ENSG00000011422	42.158
ENSG00000011426	9.995
ENSG00000011451	10.553
ENSG00000011454	35.427
ENSG00000011465	147.181
ENSG00000011478	2.134
ENSG00000011485	41.886
ENSG00000011523	25.074
ENSG00000011566	17.206
ENSG00000011590	5.609
ENSG00000011600	53.773
ENSG00000011638	46.503
ENSG00000011677	0.469
ENSG00000012048	6.824
ENSG00000012061	56.164
ENSG00000012124	5.336
ENSG00000012171	6.403
ENSG00000012174	10.352
ENSG00000012211	13.354
ENSG00000012223	796.669
ENSG00000012232	8.399
ENSG00000012504	1.347
ENSG00000012660	98.539
ENSG00000012779	17.566
ENSG00000012817	15.755
ENSG00000012822	82.05
ENSG00000012963	14.84
ENSG00000012983	29.354
ENSG00000013016	8.811
ENSG00000013275	136.251
ENSG00000013288	12.004
ENSG00000013293	0.448
ENSG00000013297	1.863
ENSG00000013306	101.397
ENSG00000013364	160.274
ENSG00000013374	104.228
ENSG00000013375	28.096
ENSG00000013392	3.141
ENSG00000013441	269.118
ENSG00000013503	8.511
ENSG00000013523	10.477
ENSG00000013561	41.762
ENSG00000013563	9.109
ENSG00000013573	70.922
ENSG00000013583	30.742
ENSG00000013588	9.541
ENSG00000013619	5.643
ENSG00000013725	16.889
ENSG00000013810	20.851
ENSG00000014123	18.265
ENSG00000014138	12.484
ENSG00000014164	8.708
ENSG00000014216	126.079
ENSG00000014257	12.734
ENSG00000014641	280.1
ENSG00000014824	45.232
ENSG00000014914	9.087
ENSG00000014919	17.089
ENSG00000015133	27.519
ENSG00000015153	21.234
ENSG00000015171	39.504
ENSG00000015285	2.49
ENSG00000015413	1.213
ENSG00000015475	43.059
ENSG00000015479	267.803
ENSG00000015520	0.333
ENSG00000015532	30.761
ENSG00000015568	7.611
ENSG00000015592	1.037
ENSG00000015676	49.583
ENSG00000016082	23.275
ENSG00000016391	2.124
ENSG00000016402	10.243
ENSG00000016490	1.477
ENSG00000016602	2.705
ENSG00000016864	49.673
ENSG00000017260	86.041
ENSG00000017427	5.13
ENSG00000017483	2.962
ENSG00000017797	42.572
ENSG00000018189	81.306
ENSG00000018236	2.255
ENSG00000018280	1.374
ENSG00000018408	24.479
ENSG00000018510	15.658
ENSG00000018610	13.963
ENSG00000018625	2.596
ENSG00000018699	14.533
ENSG00000018869	7.268
ENSG00000019102	3.38
ENSG00000019144	8.63
ENSG00000019169	229.148
ENSG00000019186	6.406
ENSG00000019485	4.958
ENSG00000019505	1.355
ENSG00000019549	15.408
ENSG00000019582	11721.359
ENSG00000019991	4.489
ENSG00000019995	12.772
ENSG00000020129	10.378
ENSG00000020181	3.352
ENSG00000020256	19.34
ENSG00000020426	59.774
ENSG00000020577	4.686
ENSG00000020633	42.534
ENSG00000020922	13.225
ENSG00000021300	18.813
ENSG00000021355	95.96
ENSG00000021461	0.087
ENSG00000021488	2.049
ENSG00000021574	11.597
ENSG00000021645	12.026
ENSG00000021762	12.531
ENSG00000021776	18.805
ENSG00000021826	3.877
ENSG00000021852	0.258
ENSG00000022267	24.25
ENSG00000022277	108.303
ENSG00000022355	1.281
ENSG00000022556	7.105
ENSG00000022567	8.324
ENSG00000022840	118.828
ENSG00000022976	8.082
ENSG00000023041	31.306
ENSG00000023171	12.172
ENSG00000023191	126.246
ENSG00000023228	44.212
ENSG00000023287	33.326
ENSG00000023318	43.841
ENSG00000023330	119.705
ENSG00000023445	216.158
ENSG00000023516	8.381
ENSG00000023572	16.266
ENSG00000023608	10.444
ENSG00000023697	51.283
ENSG00000023734	104.72
ENSG00000023839	0.62
ENSG00000023892	25.153
ENSG00000023902	26.93
ENSG00000023909	26.325
ENSG00000024048	11.305
ENSG00000024422	22.576
ENSG00000024526	3.775
ENSG00000024862	33.751
ENSG00000025039	16.06
ENSG00000025156	18.139
ENSG00000025293	37.537
ENSG00000025423	1.572
ENSG00000025434	40.385
ENSG00000025708	620.319
ENSG00000025770	35.186
ENSG00000025772	46.522
ENSG00000025796	41.306
ENSG00000025800	31.821
ENSG00000026025	729.137
ENSG00000026103	159.912
ENSG00000026297	54.507
ENSG00000026508	97.429
ENSG00000026559	0.918
ENSG00000026652	3.384
ENSG00000026751	9.79
ENSG00000026950	33.287
ENSG00000027001	23.837
ENSG00000027075	40.9
